,Unnamed: 0,Pmid,Sentences,COMPOUND,PHENOTYPE,Has Match,Cause Match,Effect Match,Verb Match,Ontology ID,Ontology term,CID,compound_name,compound_name_final,lemma_verb
22,301,35242029,"Plasma catecholamines were also increased by drug treatment, with greatest effects for norepinephrine and epinephrine caused by clozapine > risperidone > olanzapine > haloperidol.","['clozapine', 'risperidone', 'olanzapine', 'haloperidol']",['epinephrine'],True,risperidone,epinephrine,increased,C1868393,Elevated urinary epinephrine,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",risperidone,increase
23,301,35242029,"Plasma catecholamines were also increased by drug treatment, with greatest effects for norepinephrine and epinephrine caused by clozapine > risperidone > olanzapine > haloperidol.","['clozapine', 'risperidone', 'olanzapine', 'haloperidol']",['epinephrine'],True,olanzapine,epinephrine,increased,C1868393,Elevated urinary epinephrine,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",olanzapine,increase
24,301,35242029,"Plasma catecholamines were also increased by drug treatment, with greatest effects for norepinephrine and epinephrine caused by clozapine > risperidone > olanzapine > haloperidol.","['clozapine', 'risperidone', 'olanzapine', 'haloperidol']",['epinephrine'],True,haloperidol,epinephrine,increased,C1868393,Elevated urinary epinephrine,3559,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,increase
25,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,amisulpride,acute exacerbation,produced,C0436331,Exacerbated by,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",amisulpride,produce
26,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,amisulpride,mild weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",amisulpride,produce
27,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,amisulpride,weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",amisulpride,produce
28,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,aripiprazole,acute exacerbation,produced,C0436331,Exacerbated by,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",aripiprazole,produce
29,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,aripiprazole,mild weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",aripiprazole,produce
30,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,aripiprazole,weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",aripiprazole,produce
31,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,brexpiprazole,acute exacerbation,produced,C0436331,Exacerbated by,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",brexpiprazole,produce
32,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,brexpiprazole,mild weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",brexpiprazole,produce
33,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,brexpiprazole,weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",brexpiprazole,produce
34,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,cariprazine,acute exacerbation,produced,C0436331,Exacerbated by,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",cariprazine,produce
35,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,cariprazine,mild weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",cariprazine,produce
36,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,cariprazine,weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",cariprazine,produce
37,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,haloperidol,acute exacerbation,produced,C0436331,Exacerbated by,3559,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,produce
38,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,haloperidol,mild weight gain,produced,C0043094,Weight gain,3559,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,produce
39,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,haloperidol,weight gain,produced,C0043094,Weight gain,3559,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,produce
40,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,lumateperone,acute exacerbation,produced,C0436331,Exacerbated by,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",lumateperone,produce
41,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,lumateperone,mild weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",lumateperone,produce
42,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,lumateperone,weight gain,produced,C0043094,Weight gain,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",lumateperone,produce
43,329,35137229,"In patients with acute exacerbation, amisulpride, aripiprazole, brexpiprazole, cariprazine, haloperidol, lumateperone, and lurasidone produced mild weight gain in comparison to placebo (mean difference at any dose≤1 kg), while more significant weight gain was observed by all other drugs.","['amisulpride', 'aripiprazole', 'brexpiprazole', 'cariprazine', 'haloperidol', 'lumateperone', 'lurasidone']","['acute exacerbation', 'mild weight gain', 'weight gain']",True,lurasidone,acute exacerbation,produced,C0436331,Exacerbated by,NA,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",lurasidone,produce
