Article.ID,User.ID,User.Name,KE..Up.,Novel.KE.Up.,KE.up..biomarker,Novel.other.biomarker.KE.up.,KE.Down.,Novel.KE.Down.,KE.down..biomarker,Novel.other.biomarker.KE.down.,Stressor.BA.BP.,chemical,Species.BA.BP.,Test.system.BA.BP.,Dose.concordance..EP.,Time.concordance..EP.,Correlation.KEs..BP.ES.,Evidence.level..EP.ES.BP.BA.,assay.method..EP.ES.BA.,DOI,Notes
14968164,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,fructose,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.tice.2021.101595,
14968169,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,"he staining, cas number 4321-47-0"
14968169,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,chlorinated_polyfluorooctane_sulfonate_(cl_pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,"he staining, cas number na"
14968169,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,6:2_chlorinated_polyfluoroalkyl_ether_sulfonate_(6:2_cl_pfesa),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,"he staining, cas number 73606-19-6"
14968169,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,8:2_chlorinated_polyfluoroalkyl_ether_sulfonate_(8:2_cl_pfesa),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,"he staining, 83329-89-9"
14968180,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,diesel_exhaust,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.fct.2017.11.027,the study investigates the effect of diesel exhaust in n-3 pufa deficient-diet mice
14968180,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,diesel_exhaust,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.fct.2017.11.027,the study investigates the effect of diesel exhaust in n-3 pufa deficient-diet mice
14968180,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,novel,acacb,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,diesel_exhaust,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.fct.2017.11.027,the study investigates the effect of diesel exhaust in n-3 pufa deficient-diet mice
14968181,7549,marth.stinckens,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);ppara;scd1;acox1,NA,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,anabolic_steroids,mouse,in vivo,yes,no,positive correlation,functional,transcriptional study;other,10.1016/j.fct.2018.04.056,NA
14968193,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas);acc;scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,olanzapine,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;inhibitor/inducer study,10/1016/j.jep.2018.12.034,chronic treatment with olanzapine
14968220,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,fluoxetine,mouse,in vitro,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1002/jat.4109,dgat2 corresponds to tg synthesis
14968237,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,acc;srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride;other,ffa,biocide,monocrotophos_(mcp),rat,in vitro,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,10.1002/jbt.22506,chronic exposure to mcp caused ir and tg accumulation
14968260,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,chlorpyrifos_(cps),rat,in vitro,nomeasure,yes,positive correlation,functional;translational,other;translational study,doi.org/10.1016/j.tiv.2016.01.002.,NA
14968279,7548,sara.sepehri,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,vitamin_d,rat,in vivo,no,no,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.jnutbio.2015.09.013,na
14968284,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,decabromodiphinyl_ether_(bde_209),mouse,in vivo,nomeasure,nomeasure,positive correlation,translational;functional,translational study,https://doi.org/10.1016/j.tox.2021.153015,"bde-209 was combined with hf diet, the combination resulted in a synergetic effect (sig increase compared to seperate administration). bde-209 alone, gave a sig increase in fas expression but not in tg content at tested cocnentration"
14968292,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);srebf1(srebp1-1c);acc,NA,liver_triglyceride_accumulation,NA,triglyceride;novel,adrp,pharmaceutical,valproic_acid_(vpa),human,in vitro,yes,yes,negative correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.bcp.2020.113860,genes for fa biosynthesis where derecreased over time
14968311,7075,graciela.lopezsoop,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,acetaminophen,mouse,in vivo,yes,nomeasure,positive correlation,functional,other,https://doi.org/10.1016/j.ejphar.2021.174324,
14968319,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,scd1;srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,bisphenol_a_(bpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.lfs.2020.118012,"ovariectomized mice, already more sensitive to steatosis. the control group ovx mice exposed to the compound leaded to increased lipogenesis"
14968326,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,acc;fasn(fas),NA,liver_triglyceride_accumulation,NA,not defined,NA,pollutant,perfluorooctanoic_acid_(pfoa),rhabditidae,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.scitotenv.2019.134762,species: nematode. also looked over regeneration time and saw in later stages consempatory pathways for this tg accumulation
14968369,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,scd1;acc;fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,conjugated_linoleic_acid_(cla),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;knockout study;inhibitor/inducer study,10.1002/jcp.30157,"ppara upregylates is mito fao, however is was unsuffient to counteract the lipid biosynthesus activated by ppara"
14968400,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride;novel,lipid droplets,pollutant,bisphenol_a_(bpa),mouse,in vivo,no,nomeasure,positive correlation,functional;transcriptional;translational,transcriptional study;translational study,10.1016/j.fct.2019.110786.,NA
14968405,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,triclosan_(tcs),mouse,in vivo,yes,nomeasure,negative correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.jhazmat.2019.121310,
14968405,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,triclosan_(tcs),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.jhazmat.2019.121310,
14968418,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitate,mouse,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;inhibitor/inducer study,10.1159/000487892,
14968440,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc;srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1002/lipd.12188,acute ethanol exposure
14968449,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,palmitic_acid,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.4014/jmb.1707.07061,oil red o staining
14968466,7075,graciela.lopezsoop,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,bisphenol_a_(bpa),fish,in vitro,nomeasure,nomeasure,negative correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.aquatox.2018.12.011,NA
14968501,5829,anna.s.rapisarda,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,sucrose,rat,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,10.1016/j.plefa.2016.11.001,tg content measured by mallory trichrome staining of liver sections
14968501,5829,anna.s.rapisarda,de_novo_lipogenesis_fa_synthesis,NA,novel,scd (stearoyl-coA desaturase),liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,sucrose,rat,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,10.1016/j.plefa.2016.11.001,tg content measured by mallory trichrome staining of liver sections
14968515,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,fructose,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jnutbio.2016.09.010,he staining lipid droplets.
14968515,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,high_fructose_corn_syrup_55_(hfcs_55),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,10.1016/j.jnutbio.2016.09.010,he staining lipid droplets.
14968525,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,mildronate,fish,in vivo,nomeasure,nomeasure,positive correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1016/j.fsi.2017.07.058,he staining
14968531,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,scd1,NA,liver_triglyceride_accumulation,NA,not defined,NA,food supplement,fructose,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,http://dx.doi.org/10.1016/j.bbalip.2015.11.005,
14968535,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);novel,mir-192,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,bisphenol_a_(bpa),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;knockout study,http://dx.doi.org/10.1016/j.bbalip.2017.05.001,"srebf1 is the target of mir-192 (if mir-192 was downregulated, srebf1 was upregulated), other gene expressions were also modulated by bisphenol: fasn, scd1, cd36, apob100, pparg were upregulated"
14968535,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);novel,mir-192,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,bisphenol_a_(bpa),human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;knockout study,http://dx.doi.org/10.1016/j.bbalip.2017.05.001,"srebf1 is the target of mir-192 (if mir-192 was downregulated, srebf1 was upregulated), other gene expressions were also modulated by bisphenol: fasn, scd1, cd36, apob100, pparg were upregulated"
14968537,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,t0901317,human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.1016/j.bbalip.2017.11.002,lxr agonist
14968541,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,acc,NA,liver_triglyceride_accumulation,NA,not defined,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.bbalip.2019.158521,
14968541,7736,joost.boeckmans,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);fasn(fas),NA,liver_triglyceride_accumulation,NA,not defined,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.1016/j.bbalip.2019.158521,
14968565,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc;pparg,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,biocide,glyphosate,fish,in vivo,yes,yes,positive correlation,transcriptional,transcriptional study,10.1016/j.envpol.2020.116186,NA
14968566,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,"tris(1,3_dichloropropyl)_phosphate_(tdcipp)",human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,triphenyl_phosphate_(tphp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c);scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,tricresyl_phosphate_(tmpp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968566,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,2_ethylhexyl_diphenyl_phosphate_(ehdpp),human,in vitro,yes,no,positive correlation,functional;transcriptional,transcriptional study,10.1016/j.envpol.2021.117855.,"flame retardants, mie was assessed functional and biomarkers on transcriptional level"
14968567,7549,marth.stinckens,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,rosiglitazone,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other;transcriptional study;translational study,10.1111/bcpt.13621,NA
14968567,7549,marth.stinckens,de_novo_lipogenesis_fa_synthesis,NA,not defined,"fabp4, mgat1, dgat1",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,rosiglitazone,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other;transcriptional study;translational study,10.1111/bcpt.13621,NA
14968600,7075,graciela.lopezsoop,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc;other,hmg-coa,liver_triglyceride_accumulation,NA,ast;triglyceride;other,hdl,food supplement,homocysteine,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study,doi:10.3390/nu9040346,
14968600,7075,graciela.lopezsoop,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,ast;triglyceride;other,hdl,food supplement,methionine,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study,doi:10.3390/nu9040346,
14968703,7544,alexandra.gatzios,de_novo_lipogenesis_fa_synthesis,NA,scd1,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,arachidonic_acid,human,in vitro,yes,nomeasure,positive correlation,transcriptional;functional,translational study,10.4254/wjh.v12.i3.84,
14968776,4990,ramiro.jover,de_novo_lipogenesis_fa_synthesis,NA,acc;fasn(fas),NA,liver_triglyceride_accumulation,NA,not defined,NA,pollutant,silica_nanoparticles,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,0.2147/ijn.s185348,
14968780,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,srebf1(srebp1-1c),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,metromidazole,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1007/s11356-021-15689-2.,"it was a hdf model, the level of tg wasn't increased by metronidazole but the expression o srebf1 was related to lipitoxicity f"
14968796,6181,anouk.verhoeven,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas);acc,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,dexamethasone,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;knockout study,10.1074/jbc.ra118.006259,NA
14968846,6128,jian.jiang,de_novo_lipogenesis_fa_synthesis,NA,fasn(fas),NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,docosahexaenoic_acid_(dha),mouse,in vivo,no,no,no correlation,translational;functional,translational study,10.3390/nu11040917,
