edge,Time.concordance..EP.,time_freq,Dose.concordance..EP.,dose_freq,edge_count,Aid_count,time_score,time_score_positive,dose_score,dose_score_positive,EE_total_score,EE_Nscore,EE_score_rank,EE_rank
nuclear_receptor_changes_ppara-novel_cell_death,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
nuclear_receptor_changes_ppara-novel_oxidative_stress,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_activation_vdr-novel_increased_angptl8,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_repression_angptl8-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_c/ebp_a-mitochondrial_disruption,yes,1.0,no,-1.0,1,1,1.0,1.0,-1.0,0.0,1.0,1.4285714285714284,low,1
de_novo_lipogenesis_fa_synthesis-fatty_liver,yes,0.16666666666666666,nomeasure,0.0,6,3,1.0,1.0,0.0,0.0,1.0,1.4285714285714284,low,1
novel_ceramide_synthesis-fatty_liver,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_insulin_sensitization-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_tg_hydrolysis-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
other_receptor_changes_novel_grp55-liver_triglyceride_accumulation,nomeasure,0.0,yes,0.6666666666666666,3,1,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
novel_oxidative_stress-novel_steroid_hormone_oxidation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_stress-liver_triglyceride_accumulation,yes,0.5,nomeasure,0.0,2,1,1.0,1.0,0.0,0.0,1.0,1.4285714285714284,low,1
protein_kinase_changes_novel_ampk-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_ampk-nuclear_receptor_changes_ppara,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_inflammation-nuclear_receptor_changes_ppara,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_nf_kb_inducing_kinase_(nik)-nuclear_receptor_changes_ppara,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
fa_uptake-steatosis,yes,1.0,yes,1.0,1,1,1.0,1.0,1.0,1.0,2.0,1.857142857142857,low,1
nuclear_receptor_changes_novel_erb-protein_kinase_changes_akt2,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_akt-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_akt-mitochondrial_beta_oxidation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_akt-vldl_secretion,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_cyp450-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
other_receptor_changes_ahr-novel_cyp450,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_nrf2-novel_cyp450,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_lipid_sequestration-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_ppara-novel,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
nuclear_receptor_changes_ppara-novel_gluconeogenesis,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
nuclear_receptor_changes_pparg-peroxisomal_beta_oxidation,nomeasure,0.0,yes,1.0,2,1,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
de_novo_lipogenesis-fatty_liver,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_lxrab-de_novo_lipogenesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_ampk-mitochondrial_beta_oxidation,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_ir/igf1r_signaling_pathway-steatosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_ppara-fatty_liver,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_ppara-steatosis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_nrf1-mitochondrial_beta_oxidation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
transcription_factor_related_changes_novel_foxo1-liver_triglyceride_accumulation,nomeasure,0.0,yes,1.0,1,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
novel_ubiquitination_changes-nuclear_receptor_changes_pparg,nomeasure,0.0,yes,1.0,2,1,0.0,0.0,2.0,2.0,2.0,1.857142857142857,low,1
de_novo_lipogenesis_fa_synthesis-protein_kinase_changes_novel_ampk,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_novel_ampk-novel_lipophagy,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
fa_uptake-fa_uptake,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
de_novo_lipogenesis_fa_synthesis-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_nampt-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_nampt-novel_sirt1,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_sirt1-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_fxr-novel_cholesterol_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
de_novo_lipogenesis-steatosis,nomeasure,0.0,yes,0.5,2,2,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
other_receptor_changes_novel_cb1-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
other_receptor_changes_novel_cb2-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_akt-nuclear_receptor_changes_pparg,nomeasure,0.0,yes,0.5,2,1,0.0,0.0,1.0,1.0,1.0,1.4285714285714284,low,1
mitochondrial_beta_oxidation-fa_uptake,nomeasure,0.0,nomeasure,0.0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_stress-de_novo_lipogenesis_fa_synthesis,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
er_stress-novel_inflammation,yes,1.0,nomeasure,0.0,2,1,2.0,2.0,0.0,0.0,2.0,1.857142857142857,low,1
liver_triglyceride_accumulation-novel_liver_dysfuntion,yes,1.0,nomeasure,0.0,6,1,6.0,6.0,0.0,0.0,6.0,3.571428571428571,middle,2
novel_exogenous_lipid_clearance_rate-liver_triglyceride_accumulation,yes,1.0,nomeasure,0.0,3,1,3.0,3.0,0.0,0.0,3.0,2.2857142857142856,low,1
novel_rab7-novel_lipophagy,no,-1.0,no,-1.0,1,1,-1.0,0.0,-1.0,0.0,0.0,1.0,low,1
novel_cyp450-novel,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_stress-protein_kinase_changes_akt,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
protein_kinase_changes_akt-liver_triglyceride_accumulation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
nuclear_receptor_changes_pparg-novel_inflammation,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
novel_oxidative_stress-protein_kinase_changes_akt2,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
other_receptor_changes_novel_tlr4-novel_oxidative_stress,nomeasure,0.0,nomeasure,0.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,low,1
