edge,edge_count,Aid_count,n_stressorLevel,n_evidenceLevel,n_speciesLevel,n_testLevel,corr_pos_freq,n_corLevel,BP_sum_score,BP_Nscore,BP_score_rank,BP_rank
bile canalicular changes-apoptosis,8,3,1,2,1,1,1.0,8.0,13.0,1.150313152400835,low,1
bile canalicular changes-bile canalicular changes,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
bile canalicular changes-cholestasis,11,3,1,4,1,1,1.0,11.0,18.0,1.2442588726513568,low,1
bile canalicular changes-inflammation,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
bile canalicular changes-intracellular bile acid accumulation,8,3,3,3,2,2,1.0,8.0,18.0,1.2442588726513568,low,1
bile canalicular changes-mitochondrial impairment,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
bile canalicular changes-necrosis,2,1,1,1,1,1,1.0,2.0,6.0,1.0187891440501042,low,1
bile canalicular changes-nuclear receptor changes,4,1,1,1,1,1,1.0,4.0,8.0,1.0563674321503131,low,1
bile canalicular changes-oxidative stress,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
bile canalicular changes-tight junction disruption,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
cholestasis-bile acid synthesis changes,4,1,1,2,1,1,1.0,4.0,9.0,1.0751565762004174,low,1
cholestasis-inflammation,2,2,2,3,1,1,1.0,2.0,9.0,1.0751565762004174,low,1
cholestasis-novel_Ppara inhibition,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
cholestasis-nuclear receptor changes,2,1,1,2,1,1,1.0,2.0,7.0,1.0375782881002087,low,1
cholestasis-transporter changes,8,1,1,2,1,2,1.0,8.0,14.0,1.1691022964509394,low,1
inflammation-ER stress/unfolded protein response,4,1,1,2,1,1,1.0,4.0,9.0,1.0751565762004174,low,1
inflammation-apoptosis,4,3,2,3,1,2,1.0,4.0,12.0,1.1315240083507305,low,1
inflammation-cholestasis,47,33,5,7,3,3,1.0,47.0,65.0,2.127348643006263,low,1
inflammation-mitochondrial impairment,4,1,1,1,1,1,1.0,4.0,8.0,1.0563674321503131,low,1
inflammation-necrosis,4,4,3,4,1,1,1.0,4.0,13.0,1.150313152400835,low,1
inflammation-novel_Ppara inhibition,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
inflammation-oxidative stress,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
intracellular bile acid accumulation-ER stress/unfolded protein response,5,2,1,2,1,1,1.0,5.0,10.0,1.0939457202505218,low,1
intracellular bile acid accumulation-apoptosis,6,3,3,5,2,2,1.0,6.0,18.0,1.2442588726513568,low,1
intracellular bile acid accumulation-bile acid synthesis changes,5,2,2,3,2,1,1.0,5.0,13.0,1.150313152400835,low,1
intracellular bile acid accumulation-cholestasis,25,15,3,6,2,3,1.0,25.0,39.0,1.6388308977035488,low,1
intracellular bile acid accumulation-inflammation,9,4,3,5,2,2,1.0,9.0,21.0,1.30062630480167,low,1
intracellular bile acid accumulation-necrosis,6,3,3,3,1,2,1.0,6.0,15.0,1.1878914405010437,low,1
intracellular bile acid accumulation-non_specified cell death,3,2,1,2,2,2,1.0,3.0,10.0,1.0939457202505218,low,1
intracellular bile acid accumulation-novel_procoagulant activity,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
intracellular bile acid accumulation-nuclear receptor activation,6,3,3,4,2,2,1.0,6.0,17.0,1.2254697286012526,low,1
intracellular bile acid accumulation-nuclear receptor changes,6,3,3,4,2,2,1.0,6.0,17.0,1.2254697286012526,low,1
intracellular bile acid accumulation-oxidative stress,10,5,3,4,2,2,1.0,10.0,21.0,1.30062630480167,low,1
mitochondrial impairment-cholestasis,2,2,2,2,2,2,1.0,2.0,10.0,1.0939457202505218,low,1
mitochondrial impairment-nuclear receptor changes,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
necrosis-cholestasis,10,9,4,4,2,1,1.0,10.0,21.0,1.30062630480167,low,1
non_specified cell death-cholestasis,4,2,2,2,2,2,1.0,4.0,12.0,1.1315240083507305,low,1
novel_ hepatocyte nuclear factor_1 alpha (HNF_1a) decreased expression-bile acid synthesis changes,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_ hepatocyte nuclear factor_1 alpha (HNF_1a) decreased expression-nuclear receptor changes,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_ hepatocyte nuclear factor_1 alpha (HNF_1a) decreased expression-transporter changes,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_AhR activiation-cholestasis,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_AhR activiation-intracellular bile acid accumulation,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_AhR activiation-necrosis,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_AhR activiation-nuclear receptor changes,2,1,1,2,1,1,1.0,2.0,7.0,1.0375782881002087,low,1
novel_Bile acid membrane receptor changes-cholestasis,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_Crebh activation-ER stress/unfolded protein response,2,1,1,1,2,1,1.0,2.0,7.0,1.0375782881002087,low,1
novel_Crebh activation-intracellular bile acid accumulation,2,1,2,2,1,1,1.0,2.0,8.0,1.0563674321503131,low,1
novel_Crebh activation-oxidative stress,2,1,1,1,2,1,1.0,2.0,7.0,1.0375782881002087,low,1
novel_ERK1/2_LKB1_AMPK pathway activation-cholestasis,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_ERK1/2_LKB1_AMPK pathway activation-nuclear receptor changes,2,1,1,2,1,2,1.0,2.0,8.0,1.0563674321503131,low,1
novel_Fibrosis-cholestasis,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_GSH conjugation-cholestasis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
novel_Increased expression amphiregulin (AREG) = EGFR ligand-cholestasis,2,1,1,1,2,1,1.0,2.0,7.0,1.0375782881002087,low,1
novel_Lipogenesis-cholestasis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
novel_PI3K/Akt signaling pathway-cholestasis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
novel_Ppara inhibition-cholestasis,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_Sirt1-bile acid synthesis changes,2,1,1,3,1,1,1.0,2.0,8.0,1.0563674321503131,low,1
novel_Sirt1-cholestasis,1,1,1,3,1,1,1.0,1.0,7.0,1.0375782881002087,low,1
novel_Sirt1-nuclear receptor changes,1,1,1,3,1,1,1.0,1.0,7.0,1.0375782881002087,low,1
novel_biliary epithelial cell proliferation -cholestasis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
novel_canalicular network formation-nuclear receptor changes,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
novel_lipid homeostasis-novel_Cholestasis_associated hepatic steatosis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
nuclear receptor activation-bile acid metabolism changes,11,2,2,1,2,2,1.0,11.0,18.0,1.2442588726513568,low,1
nuclear receptor activation-bile acid synthesis changes,17,7,4,4,3,2,1.0,17.0,30.0,1.4697286012526094,low,1
nuclear receptor activation-transporter changes,16,4,3,1,3,2,1.0,16.0,25.0,1.3757828810020876,low,1
nuclear receptor changes-apoptosis,3,2,2,1,1,2,1.0,3.0,9.0,1.0751565762004174,low,1
nuclear receptor changes-bile acid metabolism changes,18,3,2,3,2,2,1.0,18.0,27.0,1.4133611691022963,low,1
nuclear receptor changes-bile acid synthesis changes,35,10,4,5,3,2,1.0,35.0,49.0,1.826722338204593,low,1
nuclear receptor changes-cholestasis,92,41,4,5,3,3,1.0,92.0,107.0,2.916492693110647,middle,2
nuclear receptor changes-inflammation,8,6,2,5,2,2,1.0,8.0,19.0,1.2630480167014613,low,1
nuclear receptor changes-intracellular bile acid accumulation,10,4,2,4,2,2,1.0,10.0,20.0,1.2818371607515657,low,1
nuclear receptor changes-mitochondrial impairment,1,1,1,3,1,1,1.0,1.0,7.0,1.0375782881002087,low,1
nuclear receptor changes-novel_proatherogenic events,2,1,1,2,1,2,1.0,2.0,8.0,1.0563674321503131,low,1
nuclear receptor changes-nuclear receptor changes,5,1,2,2,1,1,1.0,5.0,11.0,1.1127348643006263,low,1
nuclear receptor changes-oxidative stress,5,2,2,3,1,1,1.0,5.0,12.0,1.1315240083507305,low,1
nuclear receptor changes-transporter changes,124,12,4,4,3,2,1.0,124.0,137.0,3.4801670146137784,middle,2
oxidative stress-ER stress/unfolded protein response,3,1,1,1,1,1,1.0,3.0,7.0,1.0375782881002087,low,1
oxidative stress-apoptosis,14,4,2,5,3,2,1.0,14.0,26.0,1.394572025052192,low,1
oxidative stress-autophagy,2,1,1,1,1,1,1.0,2.0,6.0,1.0187891440501042,low,1
oxidative stress-bile canalicular changes,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
oxidative stress-cholestasis,53,28,5,7,3,2,1.0,53.0,70.0,2.221294363256785,low,1
oxidative stress-inflammation,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
oxidative stress-intracellular bile acid accumulation,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
oxidative stress-mitochondrial impairment,2,1,2,1,1,1,1.0,2.0,7.0,1.0375782881002087,low,1
oxidative stress-necropoptosis,3,1,1,1,1,1,1.0,3.0,7.0,1.0375782881002087,low,1
oxidative stress-necrosis,4,3,2,3,3,2,1.0,4.0,14.0,1.1691022964509394,low,1
oxidative stress-novel_Ppara inhibition,1,1,1,2,1,1,1.0,1.0,6.0,1.0187891440501042,low,1
oxidative stress-novel_hepatocanalicular dysfunction,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
oxidative stress-tight junction disruption,1,1,1,3,1,1,1.0,1.0,7.0,1.0375782881002087,low,1
oxidative stress-transporter changes,2,1,1,2,1,1,1.0,2.0,7.0,1.0375782881002087,low,1
tight junction disruption-apoptosis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
tight junction disruption-bile canalicular changes,1,1,1,3,1,1,1.0,1.0,7.0,1.0375782881002087,low,1
tight junction disruption-cholestasis,5,3,2,3,2,1,1.0,5.0,13.0,1.150313152400835,low,1
tight junction disruption-intracellular bile acid accumulation,2,2,2,3,1,1,1.0,2.0,9.0,1.0751565762004174,low,1
tight junction disruption-necrosis,1,1,1,1,1,1,1.0,1.0,5.0,1.0,low,1
tight junction disruption-oxidative stress,2,1,1,3,1,1,1.0,2.0,8.0,1.0563674321503131,low,1
transporter changes-ER stress/unfolded protein response,4,1,1,1,1,1,1.0,4.0,8.0,1.0563674321503131,low,1
transporter changes-apoptosis,28,4,2,4,2,2,1.0,28.0,38.0,1.6200417536534446,low,1
transporter changes-bile acid metabolism changes,4,1,1,1,1,1,1.0,4.0,8.0,1.0563674321503131,low,1
transporter changes-bile acid synthesis changes,19,4,2,4,2,2,1.0,19.0,29.0,1.4509394572025052,low,1
transporter changes-cholestasis,466,85,4,7,4,3,1.0,466.0,484.0,10.0,high,3
transporter changes-inflammation,66,15,3,5,3,3,1.0,66.0,80.0,2.4091858037578286,low,1
transporter changes-intracellular bile acid accumulation,123,20,3,7,3,3,1.0,123.0,139.0,3.5177453027139873,middle,2
transporter changes-mitochondrial impairment,7,2,2,4,2,2,1.0,7.0,17.0,1.2254697286012526,low,1
transporter changes-necrosis,10,1,2,2,1,1,1.0,10.0,16.0,1.2066805845511481,low,1
transporter changes-non_specified cell death,7,2,1,3,2,2,1.0,7.0,15.0,1.1878914405010437,low,1
transporter changes-novel_lipid homeostasis,2,1,1,1,1,1,1.0,2.0,6.0,1.0187891440501042,low,1
transporter changes-nuclear receptor changes,95,14,2,5,3,2,1.0,95.0,107.0,2.916492693110647,middle,2
transporter changes-oxidative stress,73,12,4,5,3,2,1.0,73.0,87.0,2.540709812108559,middle,2
