Article.ID,edge,Correlation.KEs..BP.ES.,assay.method..EP.ES.BA.,assay_interp_twolevel,Cor_interp_threelevel,cor_assay,assay_value,cor_value,cor_assay_value,cor_assay_score
14967917,inflammation-cholestasis,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-mitochondrial impairment,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,intracellular bile acid accumulation-inflammation,POSITIVE CORRELATION,knockout study,direct,neg,neg-direct,2,2,4,-4
14967917,inflammation-mitochondrial impairment,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-mitochondrial impairment,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967917,inflammation-mitochondrial impairment,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967912,bile canalicular changes-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967911,bile canalicular changes-bile canalicular changes,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967911,bile canalicular changes-bile canalicular changes,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967911,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967911,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967911,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967911,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967911,intracellular bile acid accumulation-apoptosis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967911,intracellular bile acid accumulation-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967911,ER stress/unfolded protein response-bile canalicular changes,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967911,ER stress/unfolded protein response-bile canalicular changes,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967906,oxidative stress-cholestasis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,intracellular bile acid accumulation-cholestasis,NEGATIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,intracellular bile acid accumulation-cholestasis,NEGATIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967902,novel_GSH conjugation-cholestasis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,oxidative stress-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,oxidative stress-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967902,intracellular bile acid accumulation-cholestasis,NEGATIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,intracellular bile acid accumulation-cholestasis,NEGATIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967902,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967902,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,necrosis-cholestasis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,inflammation-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,inflammation-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967902,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,non_specified cell death-cholestasis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967902,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION, inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967902,inflammation-cholestasis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967901,necrosis-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967901,inflammation-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967901,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967899,inflammation-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967899,mitochondrial impairment-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967899,mitochondrial impairment-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967896,intracellular bile acid accumulation-necrosis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967894,Cytoskeleton integrity disruption-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967894,Cytoskeleton integrity disruption-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967894,Cytoskeleton integrity disruption-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967882,intracellular bile acid accumulation-non_specified cell death,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967873,intracellular bile acid accumulation-novel_procoagulant activity,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967873,intracellular bile acid accumulation-necrosis,NO CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967873,intracellular bile acid accumulation-apoptosis,NO CORRELATION,translational study,indirect,neg,neg-indirect,1,2,3,-3
14967852,oxidative stress-cholestasis,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967832,inflammation-cholestasis,POSITIVE CORRELATION,translational study,indirect,neg,neg-indirect,1,2,3,-3
14967813,oxidative stress-cholestasis,POSITIVE CORRELATION,translational study,indirect,neg,neg-indirect,1,2,3,-3
14967813,apoptosis-cholestasis,POSITIVE CORRELATION,translational study,indirect,neg,neg-indirect,1,2,3,-3
14967813,inflammation-cholestasis,POSITIVE CORRELATION,translational study,indirect,neg,neg-indirect,1,2,3,-3
14967813,inflammation-apoptosis,POSITIVE CORRELATION,translational study,indirect,neg,neg-indirect,1,2,3,-3
14967813,oxidative stress-apoptosis,POSITIVE CORRELATION,translational study,indirect,neg,neg-indirect,1,2,3,-3
14967802,inflammation-apoptosis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967802,inflammation-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967802,ER stress/unfolded protein response-apoptosis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967802,ER stress/unfolded protein response-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967802,inflammation-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967802,apoptosis-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967802,ER stress/unfolded protein response-apoptosis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967802,ER stress/unfolded protein response-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967802,ER stress/unfolded protein response-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967802,ER stress/unfolded protein response-cholestasis,NEGATIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967800,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967800,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967800,intracellular bile acid accumulation-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967800,non_specified cell death-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967800,non_specified cell death-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967800,non_specified cell death-cholestasis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967797,bile canalicular changes-apoptosis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967797,tight junction disruption-apoptosis,NEGATIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967797,bile canalicular changes-tight junction disruption,NEGATIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967790,inflammation-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967784,bile canalicular changes-apoptosis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967784,bile canalicular changes-apoptosis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967784,bile canalicular changes-apoptosis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967784,bile canalicular changes-apoptosis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967784,bile canalicular changes-apoptosis,POSITIVE CORRELATION,other,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-ER stress/unfolded protein response,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967783,intracellular bile acid accumulation-ER stress/unfolded protein response,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967782,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967782,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967782,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967782,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967782,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967782,bile canalicular changes-intracellular bile acid accumulation,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967780,ER stress/unfolded protein response-cholestasis,nomeasure,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967780,ER stress/unfolded protein response-cholestasis,nomeasure,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967780,oxidative stress-cholestasis,nomeasure,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967771,oxidative stress-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967771,oxidative stress-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967771,inflammation-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967771,inflammation-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967771,mitochondrial impairment-cholestasis,NEGATIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967771,mitochondrial impairment-cholestasis,NEGATIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967771,oxidative stress-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967771,oxidative stress-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-inflammation,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-inflammation,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-oxidative stress,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-oxidative stress,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-mitochondrial impairment,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-mitochondrial impairment,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967771,bile canalicular changes-cholestasis,POSITIVE CORRELATION,Functional pathway analysis,indirect,neg,neg-indirect,1,2,3,-3
14967758,intracellular bile acid accumulation-non_specified cell death,POSITIVE CORRELATION,not defined,indirect,neg,neg-indirect,1,2,3,-3
14967882,intracellular bile acid accumulation-non_specified cell death,POSITIVE CORRELATION,inhibitor/inducer study,direct,neg,neg-direct,2,2,4,-4
14967965,ER stress/unfolded protein response-autophagy,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-autophagy,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,ER stress/unfolded protein response-apoptosis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-apoptosis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,ER stress/unfolded protein response-necrosis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-necrosis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,ER stress/unfolded protein response-autophagy,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-autophagy,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-ER stress/unfolded protein response,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,ER stress/unfolded protein response-necropoptosis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967965,oxidative stress-necropoptosis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967670,intracellular bile acid accumulation-inflammation,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967670,intracellular bile acid accumulation-inflammation,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967670,inflammation-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967670,inflammation-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967670,oxidative stress-cholestasis,NEGATIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967670,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967670,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967670,intracellular bile acid accumulation-oxidative stress,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967670,inflammation-cholestasis,NEGATIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967670,inflammation-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967670,oxidative stress-cholestasis,POSITIVE CORRELATION,transcriptional study,indirect,neg,neg-indirect,1,2,3,-3
14967670,oxidative stress-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-cholestasis,NEGATIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,apoptosis-cholestasis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION,  translational study,indirect,neg,neg-indirect,1,2,3,-3
14967667,oxidative stress-apoptosis,POSITIVE CORRELATION, other,indirect,neg,neg-indirect,1,2,3,-3
