Article.ID;User.ID;User.Name;KE..Up.;Novel.KE.Up.;KE.up..biomarker;Novel.other.biomarker.KE.up.;KE.Down.;Novel.KE.Down.;KE.down..biomarker;Novel.other.biomarker.KE.down.;Stressor.BA.BP.;chemical;Species.BA.BP.;Test.system.BA.BP.;Dose.concordance..EP.;Time.concordance..EP.;Correlation.KEs..BP.ES.;Evidence.level..EP.ES.BP.BA.;assay.method..EP.ES.BA.
14967946;6916;amy.maerten;inflammation;nan;['novel'];histological study ;necrosis;nan;['necrosis(biomarkers)', 'novel'];histological study ; biocide;CCl4; rat;in vivo;nomeasure;True;POSITIVE CORRELATION;" functional;clinical"; not defined
14967946;6916;amy.maerten;oxidative stress;nan;['oxidative stress biomarkers(ROS/GSS/GSSG)', 'novel'];SOD in erythrocytes;necrosis;nan;['necrosis(biomarkers)', 'novel'];histological study ; biocide;CCl4; rat;in vivo;nomeasure;True;POSITIVE CORRELATION;" functional;clinical"; not defined
14967946;6916;amy.maerten;necrosis;nan;['necrosis(biomarkers)', 'novel'];histological study ;cholestasis;nan;['AST', 'ALT', 'GGT', 'ALP'];nan; biocide;CCl4; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical; not defined
14967936;6916;amy.maerten;necrosis;nan;necrotic biomarkers;nan;cholestasis;nan;['ALT', 'ALP', 'AST', ' bile acids ', 'bilirubin (total)', 'necrosis(biomarkers)'];loss of cellular boundaries;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;nomeasure;clinical; inhibitor/inducer study
14967923;6916;amy.maerten;novel_Crebh activation;Crebh activation;['novel'];Crebh;oxidative stress;nan;[' not defined'];nan; food (supplement);ethanol; mouse; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; functional; not defined
14967923;6916;amy.maerten;novel_Crebh activation;Crebh activation;['novel'];Crebh ;ER stress/unfolded protein response;nan;[' not defined'];nan; food (supplement);ethanol; mouse; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; functional; not defined
14967923;6916;amy.maerten;novel_Crebh activation;Crebh activation;['novel'];nan; intracellular bile acid accumulation;nan;['ALT', 'AST', ' bile acids '];nan; food (supplement);ethanol; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"clinical; functional"; inhibitor/inducer study
14967923;6916;amy.maerten;novel_Crebh activation;Crebh activation;['novel'];Crebh;oxidative stress;nan;[' not defined'];nan; food (supplement);ethanol;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; functional; not defined
14967923;6916;amy.maerten;novel_Crebh activation;Crebh activation;['novel'];Crebh ;ER stress/unfolded protein response;nan;[' not defined'];nan; food (supplement);ethanol;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; functional; not defined
14967917;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids '];nan;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis; other;taurocholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;"transcriptional; functional";transcriptional study
14967917;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids '];nan;inflammation;nan;['novel'];Ccl2, Ccl5, Ccl20, Cxcl1, IL_8, neutrophil chemotaxis; other;glycochenodeoxycholic acid;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";transcriptional study
14967917;6916;amy.maerten;inflammation;nan;['novel'];neutrophil chemotaxis;cholestasis;nan;['ALT'];nan; other;not mentioned;human;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical; not defined
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;ER stress/unfolded protein response;nan;['novel'];Grp78, Xbp1; other;glycochenodeoxycholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;" translational;transcriptional";"  translational study;transcriptional study"
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;ER stress/unfolded protein response;nan;['novel'];Grp78, Xbp1; other;taurocholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;" translational;transcriptional";"  translational study;transcriptional study"
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;ER stress/unfolded protein response;nan;['novel'];Grp78, Xbp1; other;glycocholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;" translational;transcriptional";"  translational study;transcriptional study"
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;ER stress/unfolded protein response;nan;['novel'];Grp78, Xbp1; other;deoxycholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;" translational;transcriptional";"  translational study;transcriptional study"
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;mitochondrial impairment;nan;['novel'];Cytochrome C, endonuclease G; other;glycochenodeoxycholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;transcriptional;transcriptional study
14967917;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids '];nan;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis; other;taurocholic acid; mouse; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; functional; knockout study
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;mitochondrial impairment;nan;['novel'];Cytochrome C, endonuclease G; other;taurocholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;transcriptional;transcriptional study
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;mitochondrial impairment;nan;['novel'];Cytochrome C, endonuclease G; other;glycocholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;transcriptional;transcriptional study
14967917;6916;amy.maerten;inflammation;nan;['novel'];Ccl2, Cxcl2, neutrophil chemotaxis;mitochondrial impairment;nan;['novel'];Cytochrome C, endonuclease G; other;deoxycholic acid; mouse; in vitro;True;True;POSITIVE CORRELATION;transcriptional;transcriptional study
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;nefazodone;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;troglitazone;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;perhexiline;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;bosentan;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;diclofenac;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;tacrolimus;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967912;6916;amy.maerten;bile canalicular changes;nan;['ROCK '];MLC2;cholestasis;nan;[' not defined'];nan;pharmaceutical;entacapon;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study;  translational study"
14967911;6058;Jonas.Werner.E.Van.Ertvelde;bile canalicular changes;nan;['ROCK ', 'novel'];MYPT1;bile canalicular changes;nan;['dilatation of bile canaliculi'];nan;pharmaceutical;flucloxacillin;human; in vitro;True;True;POSITIVE CORRELATION;" functional; translational";" inhibitor/inducer study; other"
14967911;6058;Jonas.Werner.E.Van.Ertvelde;bile canalicular changes;nan;['dilatation of bile canaliculi'];nan; intracellular bile acid accumulation;nan;['efflux transporters'];nan;pharmaceutical;flucloxacillin;human; in vitro;True;nomeasure;POSITIVE CORRELATION; functional;" inhibitor/inducer study; other"
14967911;6058;Jonas.Werner.E.Van.Ertvelde; intracellular bile acid accumulation;nan;['efflux transporters'];nan;oxidative stress;nan;['oxidative stress biomarkers(ROS/GSS/GSSG)'];nan;pharmaceutical;flucloxacillin;human; in vitro;True;True;POSITIVE CORRELATION; functional;" inhibitor/inducer study; other"
14967911;6058;Jonas.Werner.E.Van.Ertvelde; intracellular bile acid accumulation;nan;['efflux transporters'];nan;apoptosis;nan;['apoptosis(biomarkers)'];nan;pharmaceutical;flucloxacillin;human; in vitro;True;True;POSITIVE CORRELATION; functional;" inhibitor/inducer study; other"
14967911;6058;Jonas.Werner.E.Van.Ertvelde;ER stress/unfolded protein response;nan;['novel'];HSP27;bile canalicular changes;nan;['ROCK ', 'novel'];MYPT1;pharmaceutical;flucloxacillin;human; in vitro;True;True;POSITIVE CORRELATION; functional;" inhibitor/inducer study; other"
14967906;6916;amy.maerten;oxidative stress;nan;['oxidative stress biomarkers(ROS/GSS/GSSG)'];malondialdehyde;cholestasis;nan;[' not defined'];nan; other;tert_butylhydroperoxide; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; functional; inhibitor/inducer study
14967902;6916;amy.maerten; intracellular bile acid accumulation;nan;['NTCP(LBAT/SLC10A1)', ' MRP2(ABCC2)', 'OATP2B1(SLCO2B1)', 'BSEP(ABCB11)'];nan;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;" inhibitor/inducer study;transcriptional study"
14967902;6916;amy.maerten;novel_GSH conjugation;GSH conjugation;['novel'];GSH;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical; inhibitor/inducer study
14967902;6916;amy.maerten;oxidative stress;nan;['novel'];HO_1, nqo1, gpx2, gst_alpha_1/2, Gstm3, Gadd45_alpha;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;" inhibitor/inducer study;transcriptional study"
14967902;6916;amy.maerten; intracellular bile acid accumulation;nan;['NTCP(LBAT/SLC10A1)', ' MRP2(ABCC2)', 'OATP2B1(SLCO2B1)', 'BSEP(ABCB11)'];nan;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan; other;Semen cassiae; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;" inhibitor/inducer study;transcriptional study"
14967902;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids ', 'plasma bile acids'];nan;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;True;nomeasure;POSITIVE CORRELATION;"transcriptional;clinical";"transcriptional study; inhibitor/inducer study"
14967902;6916;amy.maerten;necrosis;nan;['novel'];multifocal necrosis;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical; inhibitor/inducer study
14967902;6916;amy.maerten;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];neutrophil infiltration, iNOS, alphaSMA;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"clinical;transcriptional";" inhibitor/inducer study;transcriptional study"
14967902;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids ', 'plasma bile acids'];nan;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical; inhibitor/inducer study
14967902;6916;amy.maerten;non_specified cell death;nan;['novel'];distorted nuclei near bile canaliculi;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical; inhibitor/inducer study
14967902;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids ', 'plasma bile acids'];nan;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan; other;Semen cassiae; mouse;in vivo;True;nomeasure;POSITIVE CORRELATION;"transcriptional;clinical";"transcriptional study; inhibitor/inducer study"
14967902;6916;amy.maerten;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];HO_1, nqo1, gpx2, gst_alpha_1/2, Gstm3, Gadd45_alpha;cholestasis;nan;['ALT', 'ALP', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;True;nomeasure;POSITIVE CORRELATION;clinical; inhibitor/inducer study
14967901;6916;amy.maerten;necrosis;nan;['novel'];necrosis of the biliary epithelium of interlobular bile ducts, necrosis cell infiltration;cholestasis;nan;['ALT', 'AST', 'ALP'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;Functional pathway analysis
14967901;6916;amy.maerten;inflammation;nan;['novel'];inflammatory cell infiltration;cholestasis;nan;['ALT', 'AST', 'ALP'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;Functional pathway analysis
14967901;6916;amy.maerten; intracellular bile acid accumulation;nan;['plasma bile acids'];nan;cholestasis;nan;['ALT', 'AST', 'ALP'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;Functional pathway analysis
14967899;6058;Jonas.Werner.E.Van.Ertvelde;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];MPO;cholestasis;nan;['ALT', 'AST', 'ALP', 'GGT', 'total liver bile acids', 'bilirubin (total)', ' bile acids '];bile flow;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967899;6058;Jonas.Werner.E.Van.Ertvelde;mitochondrial impairment;nan;['mitochondrial impairment(biomarkers)'];mtDNA decrease;cholestasis;nan;['ALT', 'AST', 'ALP', 'GGT', 'total liver bile acids', 'bilirubin (total)', ' bile acids '];bile flow;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;" functional;transcriptional";" other;transcriptional study"
14967896;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids ', 'ALT', 'AST'];nan;necrosis;nan;['novel'];yellow subcapsular foci; other;lithocholic acid; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical; inhibitor/inducer study
14967894;6306;mathieu.vinken;Cytoskeleton integrity disruption;nan;['novel'];Periplakin;cholestasis;nan;['ALT', 'AST', 'total liver bile acids', 'bilirubin (total)'];nan; other;cholic acid; mouse;in vivo;True;False;POSITIVE CORRELATION;transcriptional;transcriptional study
14967894;6306;mathieu.vinken;Cytoskeleton integrity disruption;nan;['novel'];Periplakin;cholestasis;nan;['ALT', 'AST', 'total liver bile acids', 'bilirubin (total)'];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;False;False;POSITIVE CORRELATION;"transcriptional; translational";"transcriptional study;  translational study"
14967882;6916;amy.maerten; intracellular bile acid accumulation;nan;['bile acids '];nan;non_specified cell death;nan;[' not defined'];nan;pharmaceutical;taurocholic acid; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; functional; inhibitor/inducer study
14967873;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids '];nan;novel_procoagulant activity;procoagulant activity;['novel'];TF:FVIIa; other;glycochenodeoxycholic acid; mouse; in vitro;True;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967873;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids '];nan;necrosis;nan;['ALT'];nan; other;glycochenodeoxycholic acid; mouse; in vitro;nomeasure;nomeasure;NO CORRELATION;clinical; not defined
14967873;6916;amy.maerten; intracellular bile acid accumulation;nan;[' bile acids '];nan;apoptosis;nan;['novel'];caspase 3 cleavage; other;glycochenodeoxycholic acid; mouse; in vitro;nomeasure;nomeasure;NO CORRELATION; translational;  translational study
14967852;6128;jian.jiang;oxidative stress;nan;['novel'];"MT1A (MT1); Nrf2; Ho_1; Nqo1";cholestasis;nan;['ALT', 'bilirubin (total)'];nan; food (supplement);oleanolic acid; mouse; in vitro;True;nomeasure;POSITIVE CORRELATION;"transcriptional; functional"; inhibitor/inducer study
14967832;6930;milos.mihajlovic;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)', 'plasma bile acids', ' bile acids '];nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;  translational study
14967813;6930;milos.mihajlovic;oxidative stress;nan;['novel'];8_OHdG, MDA, 4_HNE, HO_1;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)'];nan;pharmaceutical;3,5_diethoxycarbonyl_1,4_dihydrocollidine; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;  translational study
14967813;6930;milos.mihajlovic;apoptosis;nan;['novel'];TUNEL, cleaved caspase_3, cleaved PARP_1;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)'];nan;pharmaceutical;3,5_diethoxycarbonyl_1,4_dihydrocollidine; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;  translational study
14967813;6930;milos.mihajlovic;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;cholestasis;nan;['AST', 'ALT', 'ALP', 'bilirubin (total)'];nan;pharmaceutical;3,5_diethoxycarbonyl_1,4_dihydrocollidine; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;clinical;  translational study
14967813;6930;milos.mihajlovic;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;apoptosis;nan;['novel'];TUNEL, cleaved caspase_3, cleaved PARP_1;pharmaceutical;3,5_diethoxycarbonyl_1,4_dihydrocollidine; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967813;6930;milos.mihajlovic;oxidative stress;nan;['novel'];8_OHdG, MDA, 4_HNE, HO_1;apoptosis;nan;['novel'];TUNEL, cleaved caspase_3, cleaved PARP_1;pharmaceutical;3,5_diethoxycarbonyl_1,4_dihydrocollidine; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967802;6058;Jonas.Werner.E.Van.Ertvelde;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;apoptosis;nan;['novel'];ballooning phenotype;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";"Functional pathway analysis; other"
14967802;6058;Jonas.Werner.E.Van.Ertvelde;ER stress/unfolded protein response;nan;['novel'];Hspb6,Hsph1,Hspe1,Sec61a1,Sec14l2,Sec14l4;apoptosis;nan;['nan'];ballooning phenotype;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";"Functional pathway analysis; other"
14967802;6058;Jonas.Werner.E.Van.Ertvelde;inflammation;nan;['inflammation biomarkers(IL_1b/TNFa/CRP/IL_6/IL_8)'];nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;apoptosis;nan;['novel'];ballooning phenotype;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967802;6058;Jonas.Werner.E.Van.Ertvelde;ER stress/unfolded protein response;nan;[' not defined'];nan;apoptosis;nan;['novel'];ballooning phenotype;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; functional";"Functional pathway analysis; other"
14967802;6058;Jonas.Werner.E.Van.Ertvelde;ER stress/unfolded protein response;nan;[' not defined'];nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;Functional pathway analysis
14967802;6058;Jonas.Werner.E.Van.Ertvelde;ER stress/unfolded protein response;nan;['novel'];Hspb6,Hsph1,Hspe1,Sec61a1,Sec14l2,Sec14l4;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; mouse; ex vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;Functional pathway analysis
14967800;6058;Jonas.Werner.E.Van.Ertvelde; intracellular bile acid accumulation;nan;[' bile acids '];nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; rat; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde; intracellular bile acid accumulation;nan;[' bile acids '];nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; rat; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde; intracellular bile acid accumulation;nan;[' bile acids '];nan;cholestasis;nan;[' not defined'];nan;pharmaceutical;glibenclamide; rat; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;non_specified cell death;nan;['novel'];LDH,ATP;cholestasis;nan;[' not defined'];nan;pharmaceutical;chlorpromazine; rat; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;non_specified cell death;nan;['novel'];LDH,ATP;cholestasis;nan;[' not defined'];nan;pharmaceutical;cyclosporineA; rat; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967800;6058;Jonas.Werner.E.Van.Ertvelde;non_specified cell death;nan;['novel'];LDH,ATP;cholestasis;nan;[' not defined'];nan;pharmaceutical;glibenclamide; rat; ex vivo;nomeasure;nomeasure;POSITIVE CORRELATION; functional; other
14967797;6058;Jonas.Werner.E.Van.Ertvelde;bile canalicular changes;nan;['dilatation of bile canaliculi', 'novel'];area of bile canaliculi;apoptosis;nan;['apoptosis(biomarkers)'];ratio of phosphatidyl serine binding annexin V in cell membrane;pharmaceutical;entacapon;human; in vitro;nomeasure;True;POSITIVE CORRELATION; functional; other
14967797;6058;Jonas.Werner.E.Van.Ertvelde;tight junction disruption;nan;['tight_junction biomarkers (occludens/claudine/zo_1)'];nan;apoptosis;nan;['apoptosis(biomarkers)'];ratio of phosphatidyl serine binding annexin V in cell membrane;pharmaceutical;entacapon;human; in vitro;nomeasure;True;NEGATIVE CORRELATION; functional; other
